,AIMP,Amazing,APEPlayer,Audio_Wizard,AVSMediaPlayer,BBox,boom-1-0-21,BugsPlayer4,byul2,CircularMediaPlayer,cometplayer,DeliPlayer,Dev Player,foobar2000,Free PC Audio Recorder,FreeAMRPlayer,FrostWire,geniemusicmonitor,Goma,Groovy Media Player,jajuk,JetAudio,Juice,karaoke,KMPlayer,lc_player,Mac Blu-ray Player,mavenplayer,Melon,mpc-hc,mufin_player,Musican,mxplayweb,NemesisPlayer,nemp,OooPlayer,PetrusSMP,psymp3,pulpTunes,QQPlayer,Remote-Player,rtlrack,S4BAnyAudioGrabber,songbird,Spotify,syncPlayer,VUPlayer,Xion,Yamb,zplayer
89,@System@TObject@ToString$qqrv,GetFullPathNameA,RegisterClipboardFormatW,LockResource,GetVersion,SetScrollInfo,VirtualProtect,GlobalFlags,GetFullPathNameA,?changeEvent@QTextEdit@@MAEXPAVQEvent@@@Z,ReleaseSemaphore,GetProcAddress,,WaitForSingleObjectEx,ReleaseActCtx,GetTimeFormatA,DispatchMessageW,GetExitCodeProcess,FreeEnvironmentStringsW,DrawTextA,,strncpy_s,,GlobalLock,_ZN7QString4chopEi,gtk_file_chooser_get_type,?qt_metacall@QCheckBox@@UAEHW4Call@QMetaObject@@HPAPAX@Z,strrchr,remove,ExitThread,ExitProcess,TranslateMDISysAccel,GetDC,MulDiv,IsClipboardFormatAvailable,SystemParametersInfoW,_Unwind_GetDataRelBase,SetEvent,GetSystemDefaultLCID,_controlfp_s,?isEmpty@String@TagLib@@QBE_NXZ,GetShortPathNameA,GetVersion,RegQueryValueExW,ioctlsocket,_ZN7QObject11eventFilterEPS_P6QEvent,realloc,GetVersionExW,SetPriorityClass,SetFilePointer
90,@System@TObject@SafeCallException$qqrp14System@TObjectpv,GlobalFlags,RegisterClassW,MulDiv,GetVersionExA,SetRectEmpty,CreateThread,GetThreadLocale,GetVolumeInformationA,?inputMethodEvent@QTextEdit@@MAEXPAVQInputMethodEvent@@@Z,ResetEvent,GetLocalTime,,UnhandledExceptionFilter,CreateActCtxW,LCMapStringW,TranslateMessage,OpenFileMappingW,GetEnvironmentStringsW,OffsetRect,,wcschr,,GlobalAlloc,_ZN7QString4freeEPNS_4DataE,gtk_file_chooser_add_filter,?event@QCheckBox@@MAE_NPAVQEvent@@@Z,__CxxFrameHandler,rename,WaitForSingleObjectEx,lstrlenA,TrackPopupMenu,ReleaseDC,LockResource,EnumWindows,ShowWindow,_Unwind_GetIPInfo,SetThreadPriority,SetThreadLocale,_invalid_parameter_noinfo_noreturn,?size@String@TagLib@@QBEIXZ,GetStringTypeExA,GetVersionExA,RegCloseKey,getsockname,_ZN7QObject13connectNotifyEPKc,_mbsstr,QueryPerformanceCounter,SetLastError,SetEvent
91,@System@TObject@ClassInfo$qqrv,InterlockedExchange,RedrawWindow,MultiByteToWideChar,GetVolumeInformationA,SetRect,ExitThread,GlobalGetAtomNameW,FindClose,?inputMethodQuery@QTextEdit@@UBE?AVQVariant@@W4InputMethodQuery@Qt@@@Z,GetCPInfo,SuspendThread,,SetUnhandledExceptionFilter,GetFullPathNameW,RtlUnwind,GetMessageW,MapViewOfFile,QueryPerformanceCounter,SetRect,,_CxxThrowException,,GlobalDeleteAtom,_ZN7QString7sprintfEPKcz,gtk_file_chooser_set_filter,?timerEvent@QAbstractButton@@MAEXPAVQTimerEvent@@@Z,,memmove,SignalObjectAndWait,GetPrivateProfileIntA,ToAscii,InvalidateRect,LoadResource,ShowOwnedPopups,ShowScrollBar,_Unwind_GetLanguageSpecificData,SetUnhandledExceptionFilter,VirtualQuery,_register_onexit_function,?toCString@String@TagLib@@QBEPBD_N@Z,GetFullPathNameA,GetVolumeInformationA,RegEnumKeyExW,getsockopt,_ZN7QObject16disconnectNotifyEPKc,_mbsnbcpy,ReadFile,SetFilePointer,SetErrorMode
92,@System@TObject@InheritsFrom$qqrp17System@TMetaClass,GetLocaleInfoA,PostQuitMessage,RaiseException,GetWindowsDirectoryA,SetPropW,DecodePointer,LocalReAlloc,GetCurrentProcess,?focusNextPrevChild@QTextEdit@@MAE_N_N@Z,GetTimeZoneInformation,GetCurrentThread,,GetStartupInfoW,GetVolumeInformationW,RaiseException,DestroyWindow,TlsFree,EnumSystemLocalesW,ScreenToClient,,iswupper,,GetModuleFileNameA,_ZN7QString8fromUtf8EPKci,gtk_file_chooser_set_local_only,?sizeHint@QCheckBox@@UBE?AVQSize@@XZ,,memchr,SwitchToThread,LoadLibraryA,SystemParametersInfoW,InvalidateRgn,LoadLibraryA,GetClassInfoExW,ShowOwnedPopups,_Unwind_GetRegionStart,Sleep,WaitForSingleObject,_errno,??1String@TagLib@@UAE@XZ,GetVolumeInformationA,GetWindowsDirectoryA,RegOpenKeyExW,htonl,_ZN7QObject7connectEPKS_PKcS1_S3_N2Qt14ConnectionTypeE,_purecall,WriteFile,SetEvent,SetEndOfFile
93,@System@@FindDynaInst$qqrxp14System@TObjects,GetUserDefaultUILanguage,PostMessageW,ReadFile,GlobalAddAtomA,SetParent,EncodePointer,GlobalHandle,DuplicateHandle,?viewportEvent@QAbstractScrollArea@@MAE_NPAVQEvent@@@Z,InitializeCriticalSectionAndSpinCount,FormatMessageA,,SetLastError,FindFirstFileW,GetStartupInfoW,RegOpenKeyExW,HeapAlloc,GetUserDefaultLCID,GetParent,,_CIlog10,,GetModuleHandleA,_ZN7QString9fromAsciiEPKci,gtk_dialog_get_type,?minimumSizeHint@QCheckBox@@UBE?AVQSize@@XZ,,_lrotl,GetLogicalProcessorInformation,IsValidCodePage,SubtractRect,GetDesktopWindow,,GetClassInfoW,ShowCaret,_Unwind_GetTextRelBase,TlsAlloc,RtlUnwind,_wcsicmp,?clear@File@TagLib@@QAEXXZ,SetEndOfFile,GlobalAddAtomA,,htons,_ZN7QString11shared_nullE,_itow,SetFileAttributesW,SetErrorMode,SetCurrentDirectoryW
94,@System@@CallDynaInst$qqrv,GetCPInfo,PeekMessageA,RemoveDirectoryA,GlobalAlloc,SetMenuItemInfoW,HeapQueryInformation,GlobalReAlloc,GetThreadLocale,?scrollContentsBy@QTextEdit@@MAEXHH@Z,SetConsoleCtrlHandler,WideCharToMultiByte,,EnterCriticalSection,FindClose,HeapSetInformation,RegCloseKey,WaitForSingleObject,IsValidLocale,ClientToScreen,,_amsg_exit,,ConvertDefaultLocale,_ZN7QString9fromUtf16EPKti,gtk_dialog_run,?mousePressEvent@QAbstractButton@@MAEXPAVQMouseEvent@@@Z,,_lrotr,CreateTimerQueueTimer,IsValidLocale,ShowWindow,GetWindowThreadProcessId,,GetScrollRange,SetWindowRgn,_Unwind_RaiseException,TlsFree,ReleaseCapture,wcsnlen,?isValid@File@TagLib@@QBE_NXZ,UnlockFile,GlobalAlloc,,WSAStringToAddressW,_ZN7QString16fromAscii_helperEPKci,_wtoi,GetFullPathNameW,SetEndOfFile,
95,@System@@AsClass$qqrxp14System@TObjectp17System@TMetaClass,GetOEMCP,PeekMessageW,ResetEvent,GlobalDeleteAtom,SetMenuDefaultItem,HeapSize,TlsFree,GetFileSize,?loadResource@QTextEdit@@UAE?AVQVariant@@HABVQUrl@@@Z,GetSystemTimeAsFileTime,GetVersion,,LeaveCriticalSection,GetCurrentProcess,GetCommandLineW,RegQueryValueExW,PostQueuedCompletionStatus,GetLocaleInfoW,IntersectRect,,__wgetmainargs,,EnumResourceLanguagesA,_ZN7QStringaSERKS_,gtk_file_chooser_get_filename_utf8,?mouseReleaseEvent@QAbstractButton@@MAEXPAVQMouseEvent@@@Z,,_tzset,ChangeTimerQueueTimer,CompareStringW,ShowScrollBar,BeginPaint,GlobalUnlock,SetActiveWindow,SetWindowsHookExW,_Unwind_Resume,TlsGetValue,GetCapture,wcslen,?isNull@FileRef@TagLib@@QBE_NXZ,LockFile,GlobalDeleteAtom,,socket,_ZN7QString4freeEPNS_4DataE,_iob,GetTempPathW,,ResumeThread
96,@System@@IsClass$qqrxp14System@TObjectp17System@TMetaClass,lstrcpyA,OffsetRect,RtlUnwind,GlobalFindAtomA,SetMenu,HeapReAlloc,TlsSetValue,SetEndOfFile,?createMimeDataFromSelection@QTextEdit@@MBEPAVQMimeData@@XZ,GetTickCount,LocalFree,,GetCurrentThreadId,DuplicateHandle,HeapAlloc,ShellExecuteW,LocalAlloc,LCMapStringW,EndPaint,,_cexit,,CompareStringW,_ZN7QThread11qt_metacallEN11QMetaObject4CallEiPPv,gtk_widget_destroy,?mouseMoveEvent@QCheckBox@@MAEXPAVQMouseEvent@@@Z,,__timezone,DeleteTimerQueueTimer,LCMapStringW,ShowOwnedPopups,SetFocus,GlobalSize,GetActiveWindow,SetWindowTextA,_Unwind_Resume_or_Rethrow,TlsSetValue,SetCapture,wcsncpy_s,?audioProperties@FileRef@TagLib@@QBEPAVAudioProperties@2@XZ,FlushFileBuffers,GlobalFindAtomA,,WSAWaitForMultipleEvents,_ZN7QString9fromAsciiEPKci,fprintf,GetLongPathNameW,ResumeThread,ResetEvent
97,@System@TObject@GetInterface$qqrrx5_GUIDpv,GetACP,MsgWaitForMultipleObjectsEx,SetConsoleCtrlHandler,GlobalFree,SetForegroundWindow,HeapDestroy,TlsGetValue,UnlockFile,?canInsertFromMimeData@QTextEdit@@MBE_NPBVQMimeData@@@Z,QueryPerformanceCounter,LocalAlloc,,RaiseException,GetFileSize,HeapFree,CommandLineToArgvW,lstrlenW,GetTimeFormatW,BeginPaint,,_exit,,CompareStringA,_ZN7QThread11qt_metacastEPKc,gtk_main_quit,?paintEvent@QCheckBox@@MAEXPAVQPaintEvent@@@Z,,__daylight,GetNumaHighestNodeNumber,LCMapStringA,ShowCaret,GetWindow,GlobalReAlloc,DrawEdge,SetWindowTextW,_Unwind_SetGR,UnlockFile,SetFocus,_wcslwr_s,?tag@FileRef@TagLib@@QBEPAVTag@2@XZ,SetFilePointer,GlobalFree,,WSAEnumNetworkEvents,_ZN7QString9fromUtf16EPKti,malloc,GetPrivateProfileStringW,ResetEvent,RemoveDirectoryW
98,@System@TObject@GetHashCode$qqrv,GetFileAttributesExA,MsgWaitForMultipleObjects,SetEndOfFile,GlobalHandle,SetFocus,InitializeCriticalSectionAndSpinCount,TlsAlloc,LockFile,?insertFromMimeData@QTextEdit@@MAEXPBVQMimeData@@@Z,GetFileType,GetModuleHandleA,,DeleteCriticalSection,SetEndOfFile,GetLastError,,UnmapViewOfFile,GetDateFormatW,ReleaseDC,,_XcptFilter,,LocalFree,_ZN7QThread16staticMetaObjectE,gtk_text_buffer_get_iter_at_mark,?changeEvent@QAbstractButton@@MAEXPAVQEvent@@@Z,,_ftime64,SetThreadAffinityMask,FreeLibrary,SetWindowRgn,IsChild,GlobalHandle,GetKeyboardLayoutList,SetWindowPos,_Unwind_SetIP,WaitForMultipleObjects,SetCursor,strlen,??1FileRef@TagLib@@UAE@XZ,WriteFile,GlobalLock,,WSAEventSelect,_ZN8QSysInfo14windowsVersionEv,rand,GetPrivateProfileIntW,ReleaseMutex,RemoveDirectoryA
99,@System@TObject@Equals$qqrp14System@TObject,FileTimeToLocalFileTime,MessageBoxW,SetErrorMode,GlobalLock,SetCursor,InterlockedPopEntrySList,WritePrivateProfileStringW,FlushFileBuffers,?doSetTextCursor@QTextEdit@@MAEXABVQTextCursor@@@Z,SetHandleCount,GetStartupInfoA,,GetLastError,UnlockFile,GetCPInfo,,WaitForMultipleObjects,UnregisterWait,GetDC,,exit,,LocalAlloc,_ZN7QThread4waitEm,g_dgettext,?hitButton@QCheckBox@@MBE_NABVQPoint@@@Z,,printf,RegisterWaitForSingleObject,GetVersionExA,SetWindowsHookExW,GetFocus,GlobalLock,LoadBitmapW,SetWindowPlacement,__deregister_frame_info,WaitForSingleObject,PtInRect,wmemcpy_s,??0FileRef@TagLib@@QAE@VFileName@1@_NW4ReadStyle@AudioProperties@1@@Z,ReadFile,GlobalSize,,getprotobyname,_ZN8QVariantC1ERK7QString,srand,GetDriveTypeW,ReadFile,ReleaseMutex
100,@System@TObject@Free$qqrv,GetFileAttributesA,MapWindowPoints,SetEvent,GlobalSize,SetClipboardData,VirtualAlloc,GetPrivateProfileStringW,SetFilePointer,??1QTextEdit@@UAE@XZ,GetEnvironmentStringsW,SetEndOfFile,,InitializeCriticalSectionAndSpinCount,LockFile,GetLocaleInfoW,,TerminateThread,RegisterWaitForSingleObject,SetCursor,,_wcmdln,,GetWindowsDirectoryA,_ZN7QThread5startENS_8PriorityE,g_slist_free,?checkStateSet@QCheckBox@@MAEXXZ,,_endthreadex,UnregisterWait,OutputDebugStringA,SetWindowTextW,DestroyAcceleratorTable,GlobalFree,EnumChildWindows,SetTimer,__divdi3,WideCharToMultiByte,DrawFocusRect,free,?removeFrame@Tag@ID3v2@TagLib@@QAEXPAVFrame@23@_N@Z,GetCurrentProcess,GlobalUnlock,,listen,_ZN8QVariantD1Ev,exit,GetVolumeInformationW,PeekNamedPipe,ReadFile
101,@System@TObject@$bdtr$qqrv,GetFileSizeEx,MapVirtualKeyW,SetFileAttributesA,GlobalUnlock,SetClassLongW,VirtualFree,GetPrivateProfileIntW,WriteFile,?toPlainText@QTextEdit@@QBE?AVQString@@XZ,FreeEnvironmentStringsW,MoveFileA,,InterlockedExchange,FlushFileBuffers,LeaveCriticalSection,,QueueUserAPC,SetThreadAffinityMask,LoadCursorA,,_initterm,,lstrcatA,_ZN7QThread6usleepEm,g_win32_getlocale,?nextCheckState@QCheckBox@@MAEXXZ,,strncmp,CreateTimerQueue,DeleteFileA,SetWindowPos,IsWindow,GlobalFindAtomA,SendMessageTimeoutA,SetSysColors,__emutls_get_address,WriteConsoleInputA,GetFocus,_recalloc,?frameListMap@Tag@ID3v2@TagLib@@QBEABV?$Map@VByteVector@TagLib@@V?$List@PAVFrame@ID3v2@TagLib@@@2@@3@XZ,DuplicateHandle,HeapAlloc,,gethostbyname,_ZN9QFileInfoC1ERK7QString,_ltoa,ResumeThread,OpenProcess,
102,@System@TObject@$bctr$qqrv,GetFileTime,,SetFilePointer,HeapAlloc,SetCapture,IsProcessorFeaturePresent,ResumeThread,ReadFile,?setTitle@QGroupBox@@QAEXABVQString@@@Z,GetEnvironmentStrings,DeleteFileA,,InitializeCriticalSection,SetFilePointer,EnterCriticalSection,,CreateIoCompletionPort,GetProcessAffinityMask,PtInRect,,_initterm_e,,lstrcpyA,_ZN7QThreadC2EP7QObject,g_locale_from_utf8,?metaObject@QLineEdit@@UBEPBUQMetaObject@@XZ,,strncpy,IsProcessorFeaturePresent,GetModuleFileNameA,SetWindowPlacement,RedrawWindow,GlobalDeleteAtom,GetScrollBarInfo,SetScrollRange,__moddi3,WriteConsoleOutputA,DrawTextA,_set_new_mode,?picture@AttachedPictureFrame@ID3v2@TagLib@@QBE?AVByteVector@3@XZ,GlobalAddAtomA,HeapFree,,inet_addr,_ZN9QFileInfoD1Ev,_ultoa,SuspendThread,,QueryPerformanceFrequency
103,@System@TObject@FreeInstance$qqrv,GetCurrentDirectoryA,LoadKeyboardLayoutW,SetHandleCount,HeapFree,SetActiveWindow,HeapAlloc,SuspendThread,DeleteFileA,??1QDialog@@UAE@XZ,FreeEnvironmentStringsA,WriteFile,,GetTickCount,WriteFile,DeleteCriticalSection,,SetWaitableTimer,GetNumaHighestNodeNumber,SystemParametersInfoA,,_wcsdup,,WriteFile,_ZN7QThreadD2Ev,g_free,?qt_metacast@QLineEdit@@UAEPAXPBD@Z,,isspace,InterlockedPopEntrySList,ReleaseMutex,SetTimer,DestroyWindow,GlobalAlloc,UnhookWindowsHookEx,SetScrollPos,__register_frame_info,WriteConsoleOutputW,GetSysColor,_callnewh,??0FileName@TagLib@@QAE@PBD@Z,GlobalAlloc,InitializeCriticalSection,,WSACreateEvent,_ZN9QIODevice5writeEPKc,_fstat,CreateThread,MulDiv,
104,@System@TObject@NewInstance$qqrv,GetTempFileNameA,LoadIconW,SetLastError,InitializeCriticalSection,SendNotifyMessageW,GetProcessHeap,SetThreadPriority,GlobalGetAtomNameA,?eventFilter@QDialog@@MAE_NPAVQObject@@PAVQEvent@@@Z,VirtualAlloc,ReadFile,,GetProcAddress,ReadFile,InitializeCriticalSection,,GetQueuedCompletionStatus,ChangeTimerQueueTimer,GetCursorPos,,??0exception@std@@QAE@ABQBD@Z,,GetCPInfo,_ZN8QVariantC1EPKc,g_strdup_printf,?qt_metacall@QLineEdit@@UAEHW4Call@QMetaObject@@HPAPAX@Z,,isprint,InterlockedPushEntrySList,WaitForMultipleObjects,SetScrollRange,GetClassNameW,GlobalAddAtomA,SetCapture,SetScrollInfo,__udivdi3,WriteFile,IsWindowEnabled,malloc,?createIrrKlangDevice@irrklang@@YAPAVISoundEngine@1@W4E_SOUND_OUTPUT_DRIVER@1@HPBD1@Z,GlobalDeleteAtom,InterlockedDecrement,,WSACloseEvent,_ZN9QIODevice5writeEPKcx,_fileno,MulDiv,LockResource,OpenProcess
105,@System@TObject@ClassName$qqrv,GetTempPathA,LoadCursorW,SetPriorityClass,InterlockedDecrement,SendMessageTimeoutA,HeapFree,CompareStringA,GlobalAddAtomA,?setVisible@QDialog@@UAEX_N@Z,VirtualFree,SetFilePointer,,GetModuleHandleW,CreateFileW,DecodePointer,,SetLastError,GetLogicalProcessorInformation,SetCapture,,?what@exception@std@@UBEPBDXZ,,lstrcmpiA,_ZN8QVariantC1ERK7QString,g_dpgettext2,?event@QLineEdit@@UAE_NPAVQEvent@@@Z,,__RTDynamicCast,InterlockedFlushSList,WaitForSingleObject,SetScrollPos,GetParent,GetVersionExA,GetCapture,SetRect,__umoddi3,_getpid,FillRect,__setusermatherr,gtk_widget_set_name,lstrcmpiA,InterlockedExchange,,WSASetEvent,_ZN9QIODevice7readAllEv,_unlink,GetCurrentDirectoryW,LoadResource,
106,@System@TObject@ClassType$qqrv,GetWindowsDirectoryA,LoadBitmapW,SetThreadLocale,InterlockedExchange,SendMessageTimeoutW,InterlockedPushEntrySList,lstrcmpA,GlobalFindAtomA,?sizeHint@QDialog@@UBE?AVQSize@@XZ,HeapCreate,GetFileSize,,WaitForSingleObject,lstrcmpiW,EncodePointer,,VerSetConditionMask,GetThreadPriority,DestroyMenu,,??1exception@std@@UAE@XZ,,GetVersion,_ZN8QVariantC1Ei,g_threads_got_initialized,?sizeHint@QLineEdit@@UBE?AVQSize@@XZ,,wcsrchr,QueryDepthSList,CreateMutexA,SetScrollInfo,CharNextW,,CreatePopupMenu,SetPropW,_Z21qRegisterResourceDataiPKhS0_S0_,_strdup,MessageBoxA,_set_fmode,gtk_label_get_type,GetCurrentThread,InterlockedIncrement,,sendto,_ZN9QListData11shared_nullE,__CxxFrameHandler,SetCurrentDirectoryW,LoadLibraryA,MulDiv
107,@System@@SetExpand$qqrv,GetNumberFormatA,KillTimer,SizeofResource,InterlockedIncrement,SendMessageA,InterlockedCompareExchange,GetCurrentThread,GlobalDeleteAtom,?minimumSizeHint@QDialog@@UBE?AVQSize@@XZ,GetModuleFileNameA,GetCurrentDirectoryA,,CloseHandle,GetThreadLocale,GetStringTypeW,,VerifyVersionInfoW,SwitchToThread,TrackPopupMenu,,??0exception@std@@QAE@XZ,,GetTempPathA,_ZN8QVariantD1Ev,g_usleep,?minimumSizeHint@QLineEdit@@UBE?AVQSize@@XZ,,wcspbrk,ExitProcess,WaitForSingleObjectEx,SetRect,CreateAcceleratorTableW,GetTickCount,ShowCaret,SetParent,_Z23qUnregisterResourceDataiPKhS0_S0_,__getmainargs,LoadStringA,__p__commode,gtk_list_store_append,MulDiv,IsValidLocale,,send,_ZN9QListData6appendEv,_ftol,GetModuleHandleW,,MoveFileExW
108,@System@@SetSub$qqrv,GetTickCount,IsZoomed,Sleep,IsValidLocale,SendMessageW,SearchPathW,GlobalFindAtomW,lstrcmpW,?keyPressEvent@QDialog@@MAEXPAVQKeyEvent@@@Z,GetStdHandle,CreateFileA,,QueryPerformanceCounter,GlobalAddAtomW,MultiByteToWideChar,,GetSystemTimeAsFileTime,SignalObjectAndWait,AppendMenuA,,iswspace,,WinExec,_ZN9QFileInfoC1ERKS_,g_thread_create_full,?mousePressEvent@QLineEdit@@MAEXPAVQMouseEvent@@@Z,,fwrite,GetModuleHandleExW,ResetEvent,SetPropW,RemoveMenu,,GetMenuItemID,SetMenuItemInfoW,_Z4endlR11QTextStream,__mb_cur_max,GetWindowDC,_configthreadlocale,gtk_list_store_set,FindNextFileA,LCMapStringA,,recvfrom,_ZN9QListData7detach2Ev,fclose,GetCurrentProcess,,MoveFileExA
109,@System@@SetIntersect$qqrv,GetProfileIntA,IsWindowVisible,TlsAlloc,LCMapStringA,SendDlgItemMessageW,CompareStringW,GlobalAddAtomW,GetVersionExA,?resizeEvent@QDialog@@MAEXPAVQResizeEvent@@@Z,ExitProcess,GetCurrentThreadId,,FindClose,GlobalFindAtomW,InterlockedExchange,,CreateSemaphoreA,CreateSemaphoreW,CreatePopupMenu,,_invalid_parameter_noinfo,,LoadLibraryA,_ZN9QFileInfoD1Ev,g_type_name,?mouseReleaseEvent@QLineEdit@@MAEXPAVQMouseEvent@@@Z,,swscanf,WriteConsoleW,ResumeThread,SetParent,GetMenuItemCount,GetSystemInfo,CharLowerBuffW,SetMenu,_Z5qFreePv,__p__environ,GetWindowTextLengthA,,gtk_tree_view_column_pack_start,FindFirstFileA,LeaveCriticalSection,,SymFromAddr,_ZNK10QByteArray10startsWithEPKc,_utime,DeleteFileW,GlobalUnlock,LockResource
110,@System@@SetEq$qqrv,SearchPathA,IsWindowUnicode,TlsFree,LeaveCriticalSection,ScrollWindowEx,GetCurrentDirectoryW,LoadLibraryA,FreeLibrary,?closeEvent@QDialog@@MAEXPAVQCloseEvent@@@Z,Sleep,GetLastError,,QueryPerformanceFrequency,GlobalDeleteAtom,InterlockedCompareExchange,,ReleaseSemaphore,GetStartupInfoW,ReleaseCapture,,??0exception@std@@QAE@ABV01@@Z,,GetProcAddress,_ZN9QListData11detach_growEPii,g_signal_connect_data,?mouseDoubleClickEvent@QLineEdit@@MAEXPAVQMouseEvent@@@Z,,strcmp,RtlUnwind,CreateEventA,SetMenuItemInfoW,FindWindowExW,GetStringTypeExA,PostMessageW,SetKeyboardState,_Z7qMemSetPvij,__p__fmode,GetWindowTextA,,gtk_tree_view_column_new,FindClose,LoadLibraryA,,SymGetLineFromAddr64,_ZNK10QByteArray3midEii,_chmod,GetModuleFileNameW,GlobalReAlloc,LoadResource
111,@System@@SetElem$qqrv,VirtualProtect,IsWindowEnabled,TlsGetValue,LoadLibraryA,ScrollWindow,SetCurrentDirectoryW,GlobalDeleteAtom,InterlockedDecrement,?contextMenuEvent@QDialog@@MAEXPAVQContextMenuEvent@@@Z,HeapSize,OpenMutexA,,ResetEvent,GetVersionExW,InterlockedDecrement,,WaitForSingleObjectEx,TlsFree,GetAsyncKeyState,,vsprintf_s,,FreeLibrary,_ZN9QListData11shared_nullE,g_object_get_data,?mouseMoveEvent@QLineEdit@@MAEXPAVQMouseEvent@@@Z,,tolower,SetStdHandle,SetEvent,SetMenu,SystemParametersInfoW,,SetWindowLongW,SetForegroundWindow,_Z8qWinMainP11HINSTANCE__S0_PciRiR7QVectorIS1_E,__set_app_type,SetRectEmpty,,gtk_container_add,GetThreadLocale,LoadLibraryExA,,SymSetSearchPathW,_ZNK10QByteArray4leftEi,_strdup,CopyFileW,GlobalHandle,LoadLibraryW
112,@System@@FillChar$qqrpvic,GetUserDefaultLCID,IsWindow,TlsSetValue,LoadLibraryExA,ScreenToClient,GetTempFileNameW,LoadLibraryExW,GetModuleFileNameW,?showEvent@QDialog@@MAEXPAVQShowEvent@@@Z,CreateThread,CreateProcessA,,MulDiv,GetModuleHandleW,InterlockedIncrement,,WaitForMultipleObjectsEx,TlsSetValue,SetFocus,,memmove_s,,lstrlenA,_ZN9QListData6appendEv,g_type_check_instance_cast,?keyPressEvent@QLineEdit@@MAEXPAVQKeyEvent@@@Z,,isalnum,HeapQueryInformation,GetTickCount,SetKeyboardState,GetWindowRect,GetProfileStringA,IsZoomed,SetFocus,_Z9qBadAllocv,_assert,EnableWindow,,gtk_button_new_with_label,GetVersion,LoadResource,,SymSetOptions,_ZNK10QByteArray5toIntEPbi,_wcsnicmp,CreateDirectoryW,GlobalLock,LoadLibraryA
113,@System@@AbstractError$qqrv,FindResourceExW,IsIconic,UnhandledExceptionFilter,LoadResource,RemovePropW,GetTempPathW,GetModuleHandleA,FreeResource,?open@QDialog@@UAEXXZ,ExitThread,FindClose,,GetExitCodeThread,CompareStringW,QueryPerformanceCounter,,TlsGetValue,TlsGetValue,SendMessageA,,_wtoi,,DeleteFileA,_ZN9QSettings10beginGroupERK7QString,g_object_set_data,?focusInEvent@QLineEdit@@MAEXPAVQFocusEvent@@@Z,,strcpy,GetStartupInfoW,SetThreadPriority,SetForegroundWindow,SetActiveWindow,,SetParent,SetCursorPos,_ZN10QByteArray7reallocEi,_beginthread,DialogBoxParamA,,gtk_window_set_icon_from_file,lstrcatA,LocalFree,,SymGetSearchPathW,_ZNK10QByteArray7indexOfEci,_setmbcp,GetFileAttributesW,GlobalFree,
114,@System@@TRUNC$qqrv,HeapAlloc,IsDialogMessageA,VirtualAlloc,LocalFree,RemoveMenu,GetCommandLineW,FreeResource,CreateEventA,?exec@QDialog@@UAEHXZ,HeapReAlloc,FindNextFileA,,CopyFileW,lstrcmpW,GetCurrentProcessId,,TlsSetValue,TlsAlloc,GetWindowLongA,,malloc,,GetLastError,_ZN9QSettings4syncEv,g_object_set_data_full,?focusOutEvent@QLineEdit@@MAEXPAVQFocusEvent@@@Z,,sprintf,UnhandledExceptionFilter,Sleep,SetFocus,SetForegroundWindow,GetPrivateProfileStringA,DrawMenuBar,SetCursor,_ZN10QByteArrayC1EPKc,_beginthreadex,CallWindowProcA,,gtk_file_filter_new,GetCurrentThreadId,LockResource,,SymInitialize,_ZNK11QMetaObject2trEPKcS1_,_mbsicmp,CreateFileW,GlobalFindAtomA,IsValidLocale
115,@System@@ROUND$qqrv,HeapFree,IsDialogMessageW,VirtualFree,LockResource,ReleaseDC,GetLongPathNameW,EncodePointer,SuspendThread,?done@QDialog@@UAEXH@Z,RaiseException,FindFirstFileA,,GetSystemInfo,GetCurrentThreadId,GetSystemTimeAsFileTime,,GetTickCount,TerminateProcess,DefWindowProcA,,iswdigit,,GetFileSize,_ZN9QSettings8endGroupEv,g_object_unref,?paintEvent@QLineEdit@@MAEXPAVQPaintEvent@@@Z,,_wsetlocale,SetUnhandledExceptionFilter,InterlockedDecrement,SetCursorPos,TrackPopupMenu,,GetClientRect,SetClipboardData,_ZN10QTextCodec12codecForNameERK10QByteArray,_cexit,DispatchMessageA,,gtk_style_provider_get_type,GlobalGetAtomNameA,MapViewOfFile,,SymCleanup,_ZNK11QMetaObject4castEP7QObject,atoi,RemoveDirectoryW,GlobalDeleteAtom,
116,@System@Sqrt$qqrxg,ExitProcess,IsChild,VirtualQuery,MapViewOfFile,ReleaseCapture,GetFullPathNameW,OutputDebugStringA,SetEvent,?setChecked@QAbstractButton@@QAEX_N@Z,RtlUnwind,SetCurrentDirectoryA,,VirtualProtect,GetCurrentProcessId,FatalAppExitA,,CreateEventW,UnhandledExceptionFilter,SetWindowLongA,,_configthreadlocale,,SetErrorMode,_ZN9QSettings8setValueERK7QStringRK8QVariant,gdk_window_set_cursor,?contextMenuEvent@QLineEdit@@MAEXPAVQContextMenuEvent@@@Z,,iswcntrl,IsValidCodePage,InterlockedIncrement,SetCursor,GetOpenClipboardWindow,,IsChild,SetCaretPos,_ZN10QTextCodec4cftrE,_controlfp,TranslateMessage,,gtk_widget_modify_fg,GlobalLock,MoveFileA,,timeGetTime,_ZNK4QUrl11toLocalFileEv,strncpy,GetFileTime,GlobalAlloc,HeapFree
