,AIMP,Amazing,APEPlayer,Audio_Wizard,AVSMediaPlayer,BBox,boom-1-0-21,BugsPlayer4,byul2,CircularMediaPlayer,cometplayer,DeliPlayer,Dev Player,foobar2000,Free PC Audio Recorder,FreeAMRPlayer,FrostWire,geniemusicmonitor,Goma,Groovy Media Player,jajuk,JetAudio,Juice,karaoke,KMPlayer,lc_player,Mac Blu-ray Player,mavenplayer,Melon,mpc-hc,mufin_player,Musican,mxplayweb,NemesisPlayer,nemp,OooPlayer,PetrusSMP,psymp3,pulpTunes,QQPlayer,Remote-Player,rtlrack,S4BAnyAudioGrabber,songbird,Spotify,syncPlayer,VUPlayer,Xion,Yamb,zplayer
10,@System@TInterfacedObject@BeforeDestruction$qqrv,acmStreamClose,GetACP,RegQueryValueExA,RegFlushKey,GetACP,SetEndOfFile,GetACP,InternetOpenA,?setMedia@QMediaPlayer@@QAEXABVQMediaContent@@PAVQIODevice@@@Z,SetEnvironmentVariableA,memcmp,__dllonexit,EnableThemeDialogTexture,GetConsoleCP,libvlc_media_player_get_state,GetModuleFileNameW,__dllonexit,GetPrivateProfileSectionNamesW,SetThreadPriority,GetCommandLineA,?Scanf@CxMemFile@@UAEJPBDPAX@Z,_acmdln,VirtualQuery,FMOD_Sound_GetFormat,gtk_scrolled_window_set_shadow_type,MessageBoxA,mmioCreateChunk,_wcslwr,GdipBitmapUnlockBits,??1CBaseCD@@QAE@XZ,VirtualFree,QueryPerformanceCounter,InterlockedDecrement,GetSaveFileNameW,VirtualFree,GetProcAddress,_FSOUND_Stream_FindTagField@20,MapViewOfFile,GetProcessTimes,HeapAlloc,SetupDiEnumDeviceInterfaces,RegFlushKey,MultiByteToWideChar,GdipDrawImageRectRectI,InterlockedDecrement,BASS_ChannelGetTags,closesocket,InterlockedDecrement,GetVersion
11,@System@TInterfacedObject@AfterConstruction$qqrv,acmStreamUnprepareHeader,Sleep,RegSetValueExA,RegOpenKeyExA,Sleep,FlushFileBuffers,FreeLibraryAndExitThread,InternetCloseHandle,??0QMediaContent@@QAE@ABVQUrl@@@Z,CreateFileA,strcmp,_onexit,CloseThemeData,GetStringTypeW,libvlc_media_player_get_time,GetFullPathNameW,_calloc_crt,CompareStringW,GetCurrentThread,GetCurrentDirectoryA,?GetS@CxMemFile@@UAEPADPADH@Z,exit,GetStartupInfoA,FMOD_Sound_GetLength,gtk_text_view_new,GetSystemMetrics,mmioSeek,_CIpow,GdipCreateFromHDC,?GetLastSenseInfo@CSCSICD@@QAE?AUTSenseInfo@@XZ,VirtualAlloc,QueryPerformanceFrequency,InterlockedIncrement,GetSaveFileNameA,VirtualAlloc,GetStartupInfoA,_FSOUND_Stream_GetLengthMs@4,GetCurrentProcessId,GetCurrentProcess,CreateEventA,SetupDiGetDeviceInstanceIdA,RegOpenKeyExA,HeapFree,GdipCreateFont,InterlockedIncrement,BASS_MusicGetAttribute,connect,InterlockedIncrement,GetCurrentThreadId
12,@System@RegisterModule$qqrp17System@TLibModule,acmStreamPrepareHeader,VirtualFree,CloseHandle,RegQueryInfoKeyA,VirtualFree,GetFileTime,IsValidLocale,InternetOpenUrlA,?pause@QMediaPlayer@@QAEXXZ,WriteConsoleW,strlen,??1type_info@@UAE@XZ,OpenThemeData,IsProcessorFeaturePresent,libvlc_media_player_is_playing,WriteConsoleW,_unlock,IsDBCSLeadByteEx,VirtualAlloc,GetCurrentProcess,?GetC@CxMemFile@@UAEJXZ,_XcptFilter,GetCommandLineA,FMOD_Sound_GetNumTags,gtk_text_view_set_wrap_mode,UnregisterDeviceNotification,timeKillEvent,_CIlog,GdipSetInterpolationMode,?Lasterror@CBaseCD@@QAEHXZ,lstrlenW,SetFileAttributesW,VirtualQuery,GetOpenFileNameW,lstrlenW,InitializeCriticalSection,_FSOUND_Stream_GetTime@4,CreateThread,GetCurrentProcessId,HeapFree,SetupDiEnumDeviceInfo,RegQueryInfoKeyA,GetVersionExA,GdipDeleteFont,ReleaseSemaphore,BASS_FXSetParameters,inet_addr,VirtualQuery,InterlockedDecrement
13,@System@@DynArrayAsg$qqrrpvpvt2,acmStreamSize,VirtualAlloc,CompareStringA,RegQueryValueExA,VirtualAlloc,SizeofResource,EnumSystemLocalesW,WSAStartup,?state@QMediaPlayer@@QBE?AW4State@1@XZ,GetConsoleOutputCP,atoi,_XcptFilter,SetWindowTheme,IsDebuggerPresent,libvlc_media_player_new,HeapSize,_lock,GetNumberFormatW,VirtualFree,GetEnvironmentVariableA,?PutC@CxMemFile@@UAE_NE@Z,_exit,ExitProcess,FMOD_Sound_GetTag,gtk_text_view_set_editable,ShowCursor,timeSetEvent,_CIexp,GdipDrawImageRectI,?GetCDName@CBaseCD@@QAEPADXZ,VirtualQuery,GetFileAttributesW,WideCharToMultiByte,PrintDlgW,VirtualQuery,InterlockedDecrement,_FSOUND_Stream_Net_GetStatus@20,GetCurrentThreadId,TerminateProcess,SetEvent,SetupDiGetClassDevsA,RegQueryValueExA,HeapAlloc,GdipSetStringFormatLineAlign,SetLastError,BASS_ChannelSetFX,recv,WideCharToMultiByte,InterlockedIncrement
14,@System@@DynArrayClear$qqrrpvpv,acmStreamOpen,GetSystemInfo,CopyFileA,RegSetValueExA,GetSystemInfo,LockResource,ReadConsoleW,WSACleanup,?setPosition@QMediaPlayer@@QAEX_J@Z,WriteConsoleA,abs,__crtGetShowWindowMode,IsThemePartDefined,UnhandledExceptionFilter,libvlc_media_player_pause,GetTimeZoneInformation,__crtTerminateProcess,GetUserDefaultLangID,WriteFile,GetExitCodeProcess,?Error@CxMemFile@@UAEJXZ,bsearch,TerminateProcess,FMOD_Sound_Lock,gtk_widget_set_size_request,SetWindowPos,GetModuleFileNameA,_setjmp3,GdipGetImageGraphicsContext,?ReadMaxTracks@CBaseCD@@QAEHXZ,QueryPerformanceCounter,MultiByteToWideChar,MultiByteToWideChar,GetTitleGain,QueryPerformanceCounter,InterlockedExchange,_FSOUND_Stream_Open@16,OpenProcess,GetLastError,LeaveCriticalSection,SetupDiGetDeviceInterfaceDetailA,RegSetValueExA,GetProcessHeap,GdipDeleteGraphics,SetUnhandledExceptionFilter,BASS_ChannelSetDSP,send,SetCurrentDirectoryA,VirtualQuery
15,@System@@DynArraySetLength$qqrv,acmDriverOpen,GetVersion,CreateDirectoryA,CloseHandle,GetTickCount,LoadResource,WriteConsoleW,WritePrivateProfileStringA,?setMuted@QMediaPlayer@@QAEX_N@Z,SetStdHandle,strcpy,_amsg_exit,DrawThemeText,QueryPerformanceCounter,libvlc_media_player_play,SetFilePointerEx,__crtUnhandledException,CreateToolhelp32Snapshot,GetCurrentThreadId,GetLastError,?GetHeight@CxImage@@QBEKXZ,malloc,HeapReAlloc,FMOD_Sound_Release,gtk_text_view_get_window,GetWindowInfo,CloseHandle,__CxxLongjmpUnwind,GdipDeleteGraphics,?ReadTrackInfo@CBaseCD@@QAEHAAUTTrackList@@@Z,GetTickCount,LocalFree,lstrlenA,AnalyzeSamples,GetTickCount,InterlockedIncrement,_FSOUND_Stream_Play@8,GetExitCodeProcess,LoadResource,VerifyVersionInfoA,RtlUnwind,CloseHandle,GetFullPathNameW,GdipCreateHBITMAPFromBitmap,Sleep,BASS_ChannelRemoveDSP,shutdown,MultiByteToWideChar,WideCharToMultiByte
16,@System@@DynArrayHigh$qqrpxv,acmStreamConvert,GetCurrentThreadId,CreateEventA,CompareStringA,QueryPerformanceCounter,FindResourceW,GetDriveTypeW,TlsGetValue,?isMuted@QMediaPlayer@@QBE_NXZ,LCMapStringW,strncmp,__wgetmainargs,DrawThemeBackground,HeapCreate,libvlc_media_player_release,GetFileSizeEx,_crt_debugger_hook,Process32FirstW,Sleep,GetModuleFileNameA,?Save@CxImage@@QAE_NPB_WK@Z,qsort,HeapSize,FMOD_Sound_Unlock,gtk_text_buffer_get_selection_bounds,RegisterDeviceNotificationW,GetStartupInfoA,strcat,GdipDrawImageI,?GetInfoEx@CMapDrive@@QAEHHAAPAUTDriveInfo@@@Z,GetSystemInfo,EnterCriticalSection,lstrcpynA,InitGainAnalysis,GetSystemInfo,IsDBCSLeadByteEx,_FSOUND_Stream_SetBufferSize@4,Sleep,SizeofResource,InterlockedExchange,GetTimeZoneInformation,CompareStringA,EnterCriticalSection,GdipCreateBitmapFromScan0,TlsAlloc,BASS_ChannelRemoveFX,socket,lstrlenA,SetCurrentDirectoryA
17,@System@@DynArrayLength$qqrpxv,acmFormatSuggest,VirtualQuery,CreateFileA,CopyFileExA,GetVersion,FindResourceExW,SetEnvironmentVariableA,GlobalHandle,?volume@QMediaPlayer@@QBEHXZ,LCMapStringA,_setmbcp,memmove,GetFileInformationByHandle,SetHandleCount,libvlc_media_player_set_hwnd,GetProcessHeap,??1type_info@@UAE@XZ,Process32NextW,GetPrivateProfileStringA,GetModuleHandleA,?CreateFromHBITMAP@CxImage@@QAE_NPAUHBITMAP__@@PAUHPALETTE__@@@Z,realloc,GetTimeZoneInformation,FMOD_System_Close,gtk_text_iter_get_offset,GetUserObjectInformationW,WaitForSingleObject,memcmp,GdipSaveImageToFile,GetSystemTime,GetVersion,LeaveCriticalSection,LoadLibraryExA,GetAlbumGain,GetVersion,LeaveCriticalSection,_FSOUND_Stream_SetTime@8,FindFirstFileA,GetSystemTime,GetLastError,GetLocalTime,CopyFileExA,LeaveCriticalSection,GdipCloneImage,TlsFree,BASS_ChannelSlideAttributes,gethostbyname,lstrcpynA,MultiByteToWideChar
18,@System@@ValInt64$qqrx20System@UnicodeStringri,acmMetrics,WideCharToMultiByte,CreateProcessA,CreateDirectoryA,GetCurrentThreadId,GetThreadPriority,IsValidCodePage,TlsAlloc,?setVolume@QMediaPlayer@@QAEXH@Z,GetConsoleMode,__CxxFrameHandler,exit,GetOverlappedResult,GetEnvironmentStringsW,libvlc_media_player_set_media,GetStringTypeW,_commode,CreateThread,GetPrivateProfileIntA,GetProcAddress,?Thumbnail@CxImage@@QAE_NJJUtagRGBQUAD@@PAV1@@Z,free,HeapDestroy,FMOD_System_Create,gtk_text_view_window_to_buffer_coords,SystemParametersInfoW,CreateThread,_stat64i32,GdipGetImageEncoders,GlobalLock,CompareStringW,HeapFree,GetThreadLocale,ImageList_GetImageInfo,CompareStringW,MultiByteToWideChar,_FSOUND_Stream_Stop@4,FindClose,SystemTimeToFileTime,GetProcAddress,GetModuleHandleA,CreateDirectoryA,GetFullPathNameA,GdipDisposeImage,TlsGetValue,BASS_GetInfo,WSAStartup,LoadLibraryExA,lstrlenA
19,@System@@_llmod$qqrv,acmDriverDetailsW,MultiByteToWideChar,CreateThread,CreateEventA,VirtualQuery,GetCurrentThread,CreateSemaphoreW,TlsSetValue,?setNotifyInterval@QMediaObject@@QAEXH@Z,MulDiv,memmove,_exit,LoadLibraryW,FreeEnvironmentStringsW,libvlc_media_player_set_time,FreeEnvironmentStringsW,_fmode,lstrcpynA,lstrcmpA,GetStartupInfoA,?SetPixelColor@CxImage@@QAEXJJK@Z,fprintf,HeapCreate,FMOD_System_CreateSound,gtk_text_view_get_iter_at_location,DestroyIcon,CreateEventA,_mkdir,GdipGetImageEncodersSize,GlobalUnlock,IsDBCSLeadByteEx,GetProcessHeap,GetStartupInfoA,FlatSB_SetScrollInfo,IsDBCSLeadByteEx,ReleaseSemaphore,FT_Get_Char_Index,SetLastError,LoadLibraryW,QueueUserAPC,GetSystemTime,CreateEventA,GetCurrentProcess,GdipGetImageGraphicsContext,TlsSetValue,BASS_GetDeviceDescription,WSACleanup,GetThreadLocale,lstrcpynA
